Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tyrese Maxey,25,PHI,PG,52,52,2008,22.7,.598,.411,.283,0.8,11.2,5.9,29.8,2.5,1.8,9.1,29.2,5.3,2.1,7.4,.176,5.3,0.6,5.9,3.9,,maxeyty01
2,Amen Thompson,23,HOU,PG,52,52,1937,17.8,.568,.126,.352,8.5,13.8,11.2,21.0,1.9,1.5,13.8,20.2,3.5,2.4,6.0,.148,1.0,0.8,1.9,1.9,,thompam01
3,Mikal Bridges,29,NYK,SF,55,55,1895,16.6,.604,.441,.101,3.4,10.0,6.7,16.8,2.0,2.4,7.4,17.5,4.0,2.3,6.3,.159,2.1,1.4,3.5,2.7,,bridgmi01
4,Julius Randle,31,MIN,PF,56,56,1882,20.1,.599,.301,.393,5.6,17.1,11.4,24.3,1.6,0.7,12.1,26.5,4.3,2.3,6.6,.168,2.5,0.1,2.6,2.2,,randlju01
5,Toumani Camara,25,POR,PF,56,56,1873,10.8,.579,.667,.159,5.5,11.9,8.7,10.8,1.4,1.2,14.9,16.0,1.3,1.3,2.6,.067,-1.0,-0.5,-1.5,0.2,,camarto01
6,Scottie Barnes,24,TOR,PF,54,54,1856,19.7,.577,.202,.275,7.0,20.5,13.7,25.0,1.8,4.5,13.7,24.1,2.5,3.0,5.5,.142,1.8,2.2,4.0,2.8,,barnesc01
7,Trey Murphy III,25,NOP,SF,52,52,1853,18.9,.616,.525,.229,3.1,14.4,8.7,16.6,2.0,0.8,9.2,23.2,3.8,1.1,4.9,.126,3.3,-0.8,2.4,2.1,,murphtr02
8,Kevin Durant,37,HOU,SF,50,50,1835,20.2,.627,.322,.345,1.5,14.5,8.0,19.3,1.1,2.2,13.5,27.2,4.4,2.1,6.4,.168,3.6,0.1,3.7,2.6,,duranke01
9,Jabari Smith Jr.,22,HOU,PF,52,52,1823,13.4,.557,.495,.219,5.0,17.2,11.1,7.3,1.1,2.5,8.7,17.9,2.2,2.3,4.5,.118,-0.6,0.0,-0.6,0.7,,smithja05
10,DeMar DeRozan,36,SAC,PF,56,56,1813,17.5,.592,.163,.411,1.7,9.5,5.5,18.1,1.7,0.7,6.6,22.3,3.8,0.4,4.2,.111,0.6,-0.7,-0.1,0.9,,derozde01
